Dash,DASH/USDT,https://coinmarketcap.com/currencies/dash/,142.39
OMG Network,OMG/USDT,https://coinmarketcap.com/currencies/omg/,5.64
UMA,UMA/USDT,https://coinmarketcap.com/currencies/uma/,9.71
Litecoin,LTC/USDT,https://coinmarketcap.com/currencies/litecoin/,133.24
Aragon,ANT/USDT,https://coinmarketcap.com/currencies/aragon/,9.87
Chainlink,LINK/BTC,https://coinmarketcap.com/currencies/chainlink/,25.81
Tezos,XTZ/USDT,https://coinmarketcap.com/currencies/tezos/,4.24
The Graph,GRT/USDT,https://coinmarketcap.com/currencies/the-graph/,0.6094
Bitcoin SV,BSV/USDT,https://coinmarketcap.com/currencies/bitcoin-sv/,112.43
Stellar,XLM/USDT,https://coinmarketcap.com/currencies/stellar/,0.2602
Loopring,LRC/USDT,https://coinmarketcap.com/currencies/loopring/,1.69
Aavegotchi,GHST/USDT,https://coinmarketcap.com/currencies/aavegotchi/,2.14
Uniswap,UNI/USDT,https://coinmarketcap.com/currencies/uniswap/,15.93
Ethereum,ETH/USDK,https://coinmarketcap.com/currencies/ethereum/,3213.60
Polkadot,DOT/BTC,https://coinmarketcap.com/currencies/polkadot-new/,25.23
Decentraland,MANA/USDT,https://coinmarketcap.com/currencies/decentraland/,3.07
Ethereum,ETH/BTC,https://coinmarketcap.com/currencies/ethereum/,3219.81
Ravencoin,RVN/USDT,https://coinmarketcap.com/currencies/ravencoin/,0.1062
Ethereum Classic,ETC/USDT,https://coinmarketcap.com/currencies/ethereum-classic/,30.64
Creditcoin,CTC/USDT,https://coinmarketcap.com/currencies/creditcoin/,1.90
Wrapped Bitcoin,WBTC/USDT,https://coinmarketcap.com/currencies/wrapped-bitcoin/,41814.54
IOTA,IOTA/USDT,https://coinmarketcap.com/currencies/iota/,1.12
Synthetix,SNX/USDT,https://coinmarketcap.com/currencies/synthetix-network-token/,5.50
Kusama,KSM/USDT,https://coinmarketcap.com/currencies/kusama/,244.63
TRON,TRX/BTC,https://coinmarketcap.com/currencies/tron/,0.06828
Chainlink,LINK/ETH,https://coinmarketcap.com/currencies/chainlink/,25.79
Ethereum Name Service,ENS/USDT,https://coinmarketcap.com/currencies/ethereum-name-service/,29.84
Yield Guild Games,YGG/USDT,https://coinmarketcap.com/currencies/yield-guild-games/,4.68
Dora Factory,DORA/USDT,https://coinmarketcap.com/currencies/dora-factory/,9.69
Compound,COMP/USDT,https://coinmarketcap.com/currencies/compound/,195.12
Avalanche,AVAX/BTC,https://coinmarketcap.com/currencies/avalanche/,87.19
OKB,OKB/BTC,https://coinmarketcap.com/currencies/okb/,25.56
Decentraland,MANA/BTC,https://coinmarketcap.com/currencies/decentraland/,3.07
MXC,MXC/USDT,https://coinmarketcap.com/currencies/mxc/,0.06367
Immutable X,IMX/USDT,https://coinmarketcap.com/currencies/immutable-x/,3.86
Avalanche,AVAX/ETH,https://coinmarketcap.com/currencies/avalanche/,87.19
Crypto.com Coin,CRO/USDT,https://coinmarketcap.com/currencies/crypto-com-coin/,0.475
Aave,AAVE/BTC,https://coinmarketcap.com/currencies/aave/,224.47
1inch Network,1INCH/USDT,https://coinmarketcap.com/currencies/1inch/,2.23
Neo,NEO/USDT,https://coinmarketcap.com/currencies/neo/,24.20
dYdX,DYDX/USDT,https://coinmarketcap.com/currencies/dydx/,7.19
Baby Doge Coin,BabyDoge/USDT,https://coinmarketcap.com/currencies/baby-doge-coin/,0.000000003784
NEAR Protocol,NEAR/BTC,https://coinmarketcap.com/currencies/near-protocol/,15.26
TerraUSD,UST/USDT,https://coinmarketcap.com/currencies/terrausd/,1.00
Celer Network,CELR/USDT,https://coinmarketcap.com/currencies/celer-network/,0.07021
Ethereum Classic,ETC/OKB,https://coinmarketcap.com/currencies/ethereum-classic/,30.63
Basic Attention Token,BAT/USDT,https://coinmarketcap.com/currencies/basic-attention-token/,1.06
EOS,EOS/USDT,https://coinmarketcap.com/currencies/eos/,2.87
Enjin Coin,ENJ/USDT,https://coinmarketcap.com/currencies/enjin-coin/,2.38
Monero,XMR/USDT,https://coinmarketcap.com/currencies/monero/,192.52
Celo,CELO/USDT,https://coinmarketcap.com/currencies/celo/,4.83
Chiliz,CHZ/USDT,https://coinmarketcap.com/currencies/chiliz/,0.2681
Serum,SRM/USDT,https://coinmarketcap.com/currencies/serum/,3.12
Hedera,HBAR/USDT,https://coinmarketcap.com/currencies/hedera/,0.2702
Crypto.com Coin,CRO/USDK,https://coinmarketcap.com/currencies/crypto-com-coin/,0.4749
Biconomy,BICO/USDT,https://coinmarketcap.com/currencies/biconomy/,3.83
Qtum,QTUM/USDT,https://coinmarketcap.com/currencies/qtum/,7.94
